ordersourcetype,user_count,bet_count
SLOT,20860769,1656959477
POKER,4005743,31238845
FISHING,2133471,57210653
Specialty Game,1225373,7722488
CASINO,977290,6754316
SPORT,611207,1185271
E-BINGO,443096,12414794
BINGO,419241,1795042
Numeric Games,269765,1424484
OSM,18555,512124
LARO,1108,1289
OTHER,1,1
