pt,ordersourcetype,user_count,bet_count
20260213,POKER,130749,1012435
20260213,SLOT,686980,54437364
20260213,SPORT,18887,35691
20260213,Specialty Game,37593,260309
20260214,BINGO,19810,78072
20260214,CASINO,34630,249533
20260214,E-BINGO,15086,450846
20260214,FISHING,77798,2397223
20260214,LARO,59,75
20260214,Numeric Games,15448,76326
20260214,OSM,599,17925
20260214,POKER,134562,1061196
20260214,SLOT,713734,58839299
20260214,SPORT,12396,28156
20260214,Specialty Game,43053,286229
20260215,BINGO,15120,65468
20260215,CASINO,32624,234875
20260215,E-BINGO,14825,436586
20260215,FISHING,65080,2050930
20260215,LARO,50,54
20260215,Numeric Games,13785,67199
20260215,OSM,574,17517
20260215,POKER,134455,1096832
20260215,SLOT,710748,59239013
20260215,SPORT,12322,27152
20260215,Specialty Game,67144,308166
20260216,BINGO,14670,64627
20260216,CASINO,33571,235673
20260216,E-BINGO,14129,417777
20260216,FISHING,64038,1947984
20260216,LARO,32,34
20260216,Numeric Games,12577,62525
20260216,OSM,563,15328
20260216,POKER,135255,1064503
20260216,SLOT,692614,55689235
20260216,SPORT,9444,18378
20260216,Specialty Game,52592,275536
20260217,BINGO,14786,67134
20260217,CASINO,33234,228243
20260217,E-BINGO,14209,432798
20260217,FISHING,64234,1882648
20260217,LARO,36,38
20260217,Numeric Games,11799,60070
20260217,OSM,572,16285
20260217,POKER,134232,1103329
20260217,SLOT,674112,55921900
20260217,SPORT,9745,19787
20260217,Specialty Game,46930,274097
20260218,BINGO,13839,60943
20260218,CASINO,30689,210551
20260218,E-BINGO,13304,392064
20260218,FISHING,56608,1671668
20260218,LARO,42,45
20260218,Numeric Games,13021,64180
20260218,OSM,553,16697
20260218,POKER,127570,1013240
20260218,SLOT,654043,51925614
20260218,SPORT,9999,21554
20260218,Specialty Game,41966,247374
20260219,BINGO,13392,55356
20260219,CASINO,30789,211146
20260219,E-BINGO,13681,403764
20260219,FISHING,54131,1750806
20260219,LARO,35,37
20260219,Numeric Games,14418,70974
20260219,OSM,799,17755
20260219,POKER,127775,1013700
20260219,SLOT,654235,52308628
20260219,SPORT,19024,36083
20260219,Specialty Game,43015,246115
20260220,BINGO,14178,57655
20260220,CASINO,32679,221085
20260220,E-BINGO,14260,421068
20260220,FISHING,54144,1779831
20260220,LARO,36,40
20260220,Numeric Games,13603,65668
20260220,OSM,580,15131
20260220,POKER,130453,1031271
20260220,SLOT,676531,53796340
20260220,SPORT,23957,46161
20260220,Specialty Game,42585,248794
20260221,BINGO,17970,69082
20260221,CASINO,32910,220889
20260221,E-BINGO,14754,444490
20260221,FISHING,54340,1823775
20260221,LARO,587,691
20260221,Numeric Games,13764,67195
20260221,OSM,649,18302
20260221,POKER,133512,1062314
20260221,SLOT,715742,57525078
20260221,SPORT,21529,41379
20260221,Specialty Game,43264,263017
20260222,BINGO,13797,58418
20260222,CASINO,30673,210386
20260222,E-BINGO,13016,394875
20260222,FISHING,50285,1581205
20260222,LARO,32,34
20260222,Numeric Games,11933,60385
20260222,OSM,602,16427
20260222,POKER,131272,1068532
20260222,SLOT,665360,55312857
20260222,SPORT,22931,44619
20260222,Specialty Game,41124,252066
20260223,BINGO,12845,53630
20260223,CASINO,30550,205680
20260223,E-BINGO,12366,378492
20260223,FISHING,45631,1541205
20260223,LARO,27,29
20260223,Numeric Games,10374,53079
20260223,OSM,532,14498
20260223,POKER,128501,999100
20260223,SLOT,650598,50822137
20260223,SPORT,16074,27588
20260223,Specialty Game,35972,218510
20260224,BINGO,12846,55686
20260224,CASINO,29083,201301
20260224,E-BINGO,12356,373619
20260224,FISHING,43234,1538488
20260224,LARO,19,20
20260224,Numeric Games,10862,54760
20260224,OSM,554,15928
20260224,POKER,128725,1002446
20260224,SLOT,628689,49709024
20260224,SPORT,19475,33664
20260224,Specialty Game,34035,223332
20260225,BINGO,12921,53430
20260225,CASINO,29987,203699
20260225,E-BINGO,12432,374999
20260225,FISHING,43832,1487966
20260225,LARO,42,47
20260225,Numeric Games,8510,47011
20260225,OSM,768,17720
20260225,POKER,128314,983056
20260225,SLOT,675472,50829475
20260225,SPORT,13301,22259
20260225,Specialty Game,34667,236239
20260226,BINGO,5572,16879
20260226,CASINO,13181,69362
20260226,E-BINGO,5557,125548
20260226,FISHING,17718,494132
20260226,LARO,14,15
20260226,Numeric Games,2284,12219
20260226,OSM,462,7620
20260226,POKER,56016,271370
20260226,SLOT,294680,16443173
20260226,SPORT,1385,1676
20260226,Specialty Game,13093,68286
