pt,user_count,bet_count,user_ma7,bet_ma7,user_zscore
20260219,971750,56119634,,,0.3291442662301947
20260220,1003465,57673909,,,0.48487244786650596
20260221,1048725,61522507,,,0.7071097961515272
20260222,980476,59004509,,,0.3719909984691495
20260223,943290,54318077,,,0.1893989075869843
20260224,919681,53208106,,,0.07347311095284674
20260225,960406,54254706,975399.0,56585921.14285714,0.2734425322720577
20260226,409949,17524766,895141.7142857143,51072368.571428575,-2.429432059529266
