ordersourcetype,user_count,bet_count
SLOT,4961133,386757446
POKER,964915,7433041
FISHING,362805,11984373
Specialty Game,288110,1757322
CASINO,229834,1544984
SPORT,137619,252482
BINGO,103558,419753
E-BINGO,98626,2921539
Numeric Games,85444,430977
OSM,4940,123443
LARO,758,854
